YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
2002-01-01,1:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,1.7,3,0.079,1
2002-01-01,2:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,6,1.8,3,0.079,1
2002-01-01,3:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.9,3,0.079,1
2002-01-01,4:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.9,3,0.079,1
2002-01-01,5:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,2.1,3,0.079,1
2002-01-01,6:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,2.2,3,0.079,1
2002-01-01,7:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,2.3,3,0.079,1
2002-01-01,8:00,89.6,123.8,1,177,0,8,2,0,15,2,0,8,2,-9900,99,-9900,99,-9900,99,10,2.4,3,0.079,1
2002-01-01,9:00,85.2,130.0,118,1415,9,8,2,0,15,2,9,8,2,-9900,99,-9900,99,-9900,99,10,2.5,3,0.079,1
2002-01-01,10:00,78.0,141.9,293,1415,26,8,2,0,15,2,26,8,2,-9900,99,-9900,99,-9900,99,10,2.6,3,0.079,1
2002-01-01,11:00,72.6,155.0,423,1415,47,8,2,0,15,2,47,8,2,-9900,99,-9900,99,-9900,99,10,2.7,3,0.079,1
2002-01-01,12:00,69.4,169.2,499,1415,81,8,2,0,15,2,81,8,2,-9900,99,-9900,99,-9900,99,10,2.7,3,0.079,1
