YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1991-01-01,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.079,1
1991-01-01,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.079,1
1991-01-01,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.079,1
1991-01-01,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.079,1
1991-01-01,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.079,1
1991-01-01,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.079,1
1991-01-01,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.079,1
1991-01-01,8:00,89.6,123.9,1,177,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.038,1
1991-01-01,9:00,85.2,130.1,118,1415,22,10,1,27,16,1,19,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.038,1
1991-01-01,10:00,78.1,141.9,293,1415,44,10,1,0,16,1,44,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.038,1
1991-01-01,11:00,72.6,155.0,423,1415,95,10,1,0,16,1,95,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.038,1
1991-01-01,12:00,69.4,169.2,498,1415,304,10,1,565,16,1,106,10,1,-9900,99,-9900,99,-9900,99,2,1.1,1,0.038,1
1991-01-01,13:00,68.8,183.9,513,1415,304,10,1,384,16,1,165,10,1,-9900,99,-9900,99,-9900,99,6,1.1,1,0.038,1
1991-01-01,14:00,70.8,198.5,466,1415,278,10,1,241,16,1,199,10,1,-9900,99,-9900,99,-9900,99,7,1.1,1,0.038,1
1991-01-01,15:00,75.2,212.1,360,1415,79,10,1,0,16,1,79,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.038,1
1991-01-01,16:00,81.7,224.5,205,1415,70,10,1,69,16,1,60,10,1,-9900,99,-9900,99,-9900,99,7,1.1,1,0.038,1
1991-01-01,17:00,87.7,233.6,33,837,11,10,1,75,16,1,8,10,1,-9900,99,-9900,99,-9900,99,3,1.1,1,0.038,1
1991-01-01,18:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.038,1
1991-01-01,19:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.038,1
1991-01-01,20:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.038,1
1991-01-01,21:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-01,22:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-01,23:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-01,24:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-02,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-02,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-02,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-02,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-02,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-02,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-02,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.038,1
1991-01-02,8:00,89.6,123.7,1,177,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.153,1
1991-01-02,9:00,85.2,130.0,118,1415,16,10,1,0,16,1,16,10,1,-9900,99,-9900,99,-9900,99,10,0.9,1,0.153,1
1991-01-02,10:00,78.0,141.8,293,1415,34,10,1,0,16,1,34,10,1,-9900,99,-9900,99,-9900,99,10,0.9,1,0.153,1
1991-01-02,11:00,72.6,154.9,424,1415,51,10,1,0,16,1,51,10,1,-9900,99,-9900,99,-9900,99,10,0.9,1,0.153,1
1991-01-02,12:00,69.3,169.1,500,1415,64,10,1,0,16,1,64,10,1,-9900,99,-9900,99,-9900,99,10,0.9,1,0.153,1
1991-01-02,13:00,68.7,183.8,515,1415,67,10,1,0,16,1,67,10,1,-9900,99,-9900,99,-9900,99,10,0.9,1,0.153,1
1991-01-02,14:00,70.7,198.4,468,1415,59,10,1,0,16,1,59,10,1,-9900,99,-9900,99,-9900,99,10,0.9,1,0.153,1
1991-01-02,15:00,75.1,212.0,363,1415,42,10,1,0,16,1,42,10,1,-9900,99,-9900,99,-9900,99,10,0.9,1,0.153,1
1991-01-02,16:00,81.6,224.5,208,1415,27,10,1,0,16,1,27,10,1,-9900,99,-9900,99,-9900,99,10,0.9,1,0.153,1
1991-01-02,17:00,87.7,233.7,35,861,4,10,1,0,16,1,4,10,1,-9900,99,-9900,99,-9900,99,10,0.9,1,0.153,1
1991-01-02,18:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,0.8,1,0.153,1
1991-01-02,19:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,0.8,1,0.153,1
1991-01-02,20:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,0.8,1,0.153,1
1991-01-02,21:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,0.8,1,0.153,1
1991-01-02,22:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,0.8,1,0.153,1
1991-01-02,23:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,0.8,1,0.153,1
1991-01-02,24:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,6,0.8,1,0.153,1
1991-01-03,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,0.8,1,0.153,1
1991-01-03,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,0.8,1,0.153,1
1991-01-03,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,8,0.7,1,0.153,1
1991-01-03,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,0.7,1,0.153,1
1991-01-03,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,0.7,1,0.153,1
1991-01-03,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,0.7,1,0.153,1
1991-01-03,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,8,0.7,1,0.153,1
