YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1996-01-01,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.4,1,0.079,1
1996-01-01,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.4,1,0.079,1
1996-01-01,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.4,1,0.079,1
1996-01-01,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.079,1
1996-01-01,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.079,1
1996-01-01,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.079,1
1996-01-01,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.079,1
1996-01-01,8:00,89.6,123.9,1,177,0,24,1,0,27,1,0,24,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.062,1
1996-01-01,9:00,85.2,130.1,118,1415,28,24,1,33,27,1,25,24,1,-9900,99,-9900,99,-9900,99,9,1.5,1,0.062,1
1996-01-01,10:00,78.1,142.0,293,1415,39,24,1,0,27,1,39,24,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.062,1
1996-01-01,11:00,72.6,155.1,423,1415,230,24,1,424,27,1,103,24,1,-9900,99,-9900,99,-9900,99,3,1.5,1,0.062,1
1996-01-01,12:00,69.4,169.2,498,1415,266,24,1,143,27,1,216,24,1,-9900,99,-9900,99,-9900,99,9,1.5,1,0.062,1
1996-01-01,13:00,68.8,184.0,512,1415,111,24,1,0,27,1,111,24,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.062,1
1996-01-01,14:00,70.8,198.5,465,1415,99,24,1,0,27,1,99,24,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.062,1
1996-01-01,15:00,75.3,212.1,360,1415,72,24,1,0,27,1,72,24,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.062,1
1996-01-01,16:00,81.7,224.5,204,1415,35,24,1,0,27,1,35,24,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.062,1
1996-01-01,17:00,87.8,233.6,33,837,5,24,1,0,27,1,5,24,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.062,1
1996-01-01,18:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-01,19:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-01,20:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-01,21:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-01,22:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-01,23:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-01,24:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-02,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-02,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-02,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-02,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-02,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-02,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.062,1
1996-01-02,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.062,1
1996-01-02,8:00,89.6,123.8,1,177,0,24,1,0,27,1,0,24,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.089,1
1996-01-02,9:00,85.2,130.0,118,1415,40,24,1,35,27,1,37,24,1,-9900,99,-9900,99,-9900,99,9,1.5,1,0.089,1
1996-01-02,10:00,78.0,141.8,293,1415,89,24,1,86,27,1,71,24,1,-9900,99,-9900,99,-9900,99,8,1.5,1,0.089,1
1996-01-02,11:00,72.6,154.9,424,1415,78,24,1,67,27,1,58,24,1,-9900,99,-9900,99,-9900,99,9,1.5,1,0.089,1
1996-01-02,12:00,69.3,169.1,499,1415,114,24,1,64,27,1,91,24,1,-9900,99,-9900,99,-9900,99,9,1.4,1,0.089,1
1996-01-02,13:00,68.7,183.8,514,1415,87,24,1,58,27,1,66,24,1,-9900,99,-9900,99,-9900,99,9,1.4,1,0.089,1
1996-01-02,14:00,70.7,198.4,468,1415,142,24,1,53,27,1,124,24,1,-9900,99,-9900,99,-9900,99,9,1.4,1,0.089,1
1996-01-02,15:00,75.1,212.0,363,1415,195,24,1,492,27,1,69,24,1,-9900,99,-9900,99,-9900,99,2,1.4,1,0.089,1
1996-01-02,16:00,81.6,224.5,207,1415,98,24,1,399,27,1,39,24,1,-9900,99,-9900,99,-9900,99,0,1.3,1,0.089,1
1996-01-02,17:00,87.7,233.7,34,861,9,25,1,34,28,1,8,25,1,-9900,99,-9900,99,-9900,99,5,1.3,1,0.089,1
1996-01-02,18:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,1,0.089,1
1996-01-02,19:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,1,0.089,1
1996-01-02,20:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.2,1,0.089,1
1996-01-02,21:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,1.2,1,0.089,1
1996-01-02,22:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.2,1,0.089,1
1996-01-02,23:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.2,1,0.089,1
1996-01-02,24:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.089,1
1996-01-03,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.089,1
1996-01-03,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.089,1
1996-01-03,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.089,1
1996-01-03,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.089,1
1996-01-03,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,1,0.089,1
