YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1994-01-01,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.093,1
1994-01-01,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.093,1
1994-01-01,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.093,1
1994-01-01,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.093,1
1994-01-01,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.093,1
1994-01-01,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.093,1
1994-01-01,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.093,1
1994-01-01,8:00,89.6,123.8,1,177,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.116,1
1994-01-01,9:00,85.2,130.1,118,1415,22,10,1,0,16,1,22,10,1,-9900,99,-9900,99,-9900,99,10,1.7,1,0.116,1
1994-01-01,10:00,78.1,141.9,293,1415,47,10,1,0,16,1,47,10,1,-9900,99,-9900,99,-9900,99,10,1.7,1,0.116,1
1994-01-01,11:00,72.6,155.0,423,1415,77,10,1,0,16,1,77,10,1,-9900,99,-9900,99,-9900,99,10,1.7,1,0.116,1
1994-01-01,12:00,69.4,169.2,498,1415,96,10,1,0,16,1,96,10,1,-9900,99,-9900,99,-9900,99,10,1.7,1,0.116,1
1994-01-01,13:00,68.7,183.9,513,1415,145,10,1,99,16,1,109,10,1,-9900,99,-9900,99,-9900,99,8,1.6,1,0.116,1
1994-01-01,14:00,70.8,198.4,466,1415,215,10,1,222,16,1,142,10,1,-9900,99,-9900,99,-9900,99,9,1.6,1,0.116,1
1994-01-01,15:00,75.2,212.1,361,1415,86,10,1,81,16,1,66,10,1,-9900,99,-9900,99,-9900,99,9,1.6,1,0.116,1
1994-01-01,16:00,81.6,224.5,205,1415,44,10,1,13,16,1,42,10,1,-9900,99,-9900,99,-9900,99,9,1.6,1,0.116,1
1994-01-01,17:00,87.7,233.6,33,837,7,10,1,7,16,1,6,10,1,-9900,99,-9900,99,-9900,99,8,1.5,1,0.116,1
1994-01-01,18:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.116,1
1994-01-01,19:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,3,1.5,1,0.116,1
1994-01-01,20:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,1,1.5,1,0.116,1
1994-01-01,21:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,3,1.4,1,0.116,1
1994-01-01,22:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,7,1.4,1,0.116,1
1994-01-01,23:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,1.4,1,0.116,1
1994-01-01,24:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,1,0.116,1
1994-01-02,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,1,0.116,1
1994-01-02,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,1,0.116,1
1994-01-02,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,1,0.116,1
1994-01-02,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.2,1,0.116,1
1994-01-02,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,1,0.116,1
1994-01-02,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,1,0.116,1
1994-01-02,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,1,0.116,1
1994-01-02,8:00,89.6,123.7,1,177,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,10,1.4,1,0.113,1
1994-01-02,9:00,85.2,129.9,118,1415,22,10,1,0,16,1,22,10,1,-9900,99,-9900,99,-9900,99,10,1.4,1,0.113,1
1994-01-02,10:00,78.0,141.8,293,1415,40,10,1,0,16,1,40,10,1,-9900,99,-9900,99,-9900,99,10,1.4,1,0.113,1
1994-01-02,11:00,72.5,154.9,424,1415,65,10,1,0,16,1,65,10,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.113,1
1994-01-02,12:00,69.3,169.0,500,1415,97,10,1,0,16,1,97,10,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.113,1
1994-01-02,13:00,68.6,183.8,515,1415,101,10,1,0,16,1,101,10,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.113,1
1994-01-02,14:00,70.6,198.3,469,1415,74,10,1,0,16,1,74,10,1,-9900,99,-9900,99,-9900,99,10,1.5,1,0.113,1
1994-01-02,15:00,75.1,212.0,364,1415,53,10,1,0,16,1,53,10,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.113,1
1994-01-02,16:00,81.5,224.5,209,1415,34,10,1,0,16,1,34,10,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.113,1
1994-01-02,17:00,87.6,233.6,35,861,6,10,1,0,16,1,6,10,1,-9900,99,-9900,99,-9900,99,10,1.6,1,0.113,1
1994-01-02,18:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.7,1,0.113,1
1994-01-02,19:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.7,1,0.113,1
1994-01-02,20:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.7,1,0.113,1
1994-01-02,21:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.113,1
1994-01-02,22:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.113,1
1994-01-02,23:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.113,1
1994-01-02,24:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.113,1
1994-01-03,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.113,1
1994-01-03,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.113,1
1994-01-03,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.113,1
1994-01-03,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.0,1,0.113,1
1994-01-03,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,2.0,1,0.113,1
1994-01-03,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.113,1
1994-01-03,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.113,1
1994-01-03,8:00,89.6,123.6,1,177,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.098,1
1994-01-03,9:00,85.2,129.8,119,1415,17,10,1,0,16,1,17,10,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.098,1
1994-01-03,10:00,78.0,141.6,294,1415,35,10,1,0,16,1,35,10,1,-9900,99,-9900,99,-9900,99,10,1.9,1,0.098,1
1994-01-03,11:00,72.5,154.7,426,1415,67,10,1,0,16,1,67,10,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.098,1
1994-01-03,12:00,69.2,168.9,502,1415,84,10,1,0,16,1,84,10,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.098,1
1994-01-03,13:00,68.5,183.7,518,1415,104,10,1,0,16,1,104,10,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.098,1
1994-01-03,14:00,70.5,198.3,472,1415,92,10,1,0,16,1,92,10,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.098,1
1994-01-03,15:00,75.0,212.0,367,1415,66,10,1,0,16,1,66,10,1,-9900,99,-9900,99,-9900,99,10,1.8,1,0.098,1
