YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1992-01-01,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.240,1
1992-01-01,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.240,1
1992-01-01,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.240,1
1992-01-01,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.240,1
1992-01-01,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,8,1.1,1,0.240,1
1992-01-01,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,7,1.1,1,0.240,1
1992-01-01,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.240,1
1992-01-01,8:00,89.6,123.9,1,177,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,9:00,85.2,130.1,118,1415,34,10,1,0,16,1,34,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,10:00,78.1,142.0,292,1415,126,10,1,16,16,1,123,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,11:00,72.6,155.1,423,1415,152,10,1,29,16,1,143,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,12:00,69.4,169.2,498,1415,191,10,1,59,16,1,170,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,13:00,68.8,184.0,512,1415,173,10,1,57,16,1,153,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,14:00,70.8,198.5,465,1415,145,10,1,31,16,1,135,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,15:00,75.3,212.1,360,1415,129,10,1,11,16,1,126,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,16:00,81.7,224.5,204,1415,47,10,1,0,16,1,47,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,17:00,87.8,233.6,33,837,5,10,1,0,16,1,5,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,18:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,19:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,20:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,21:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,22:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,23:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-01,24:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-02,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-02,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-02,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-02,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-02,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-02,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-02,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.391,1
1992-01-02,8:00,89.6,123.8,1,177,0,10,1,0,16,1,0,10,1,-9900,99,-9900,99,-9900,99,5,1.1,1,0.155,1
1992-01-02,9:00,85.2,130.0,118,1415,36,10,1,86,16,1,29,10,1,-9900,99,-9900,99,-9900,99,2,1.1,1,0.155,1
1992-01-02,10:00,78.0,141.8,293,1415,34,10,1,0,16,1,34,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.155,1
1992-01-02,11:00,72.6,154.9,424,1415,51,10,1,0,16,1,51,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.155,1
1992-01-02,12:00,69.3,169.1,499,1415,64,10,1,0,16,1,64,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.155,1
1992-01-02,13:00,68.7,183.8,514,1415,67,10,1,0,16,1,67,10,1,-9900,99,-9900,99,-9900,99,10,1.1,1,0.155,1
1992-01-02,14:00,70.7,198.4,468,1415,154,10,1,102,16,1,120,10,1,-9900,99,-9900,99,-9900,99,8,1.1,1,0.155,1
1992-01-02,15:00,75.1,212.0,363,1415,186,10,1,432,16,1,75,10,1,-9900,99,-9900,99,-9900,99,2,1.1,1,0.155,1
1992-01-02,16:00,81.6,224.5,207,1415,82,10,1,166,16,1,57,10,1,-9900,99,-9900,99,-9900,99,5,1.1,1,0.155,1
