YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
2001-01-01,1:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.5,2,0.079,1
2001-01-01,2:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.5,2,0.079,1
2001-01-01,3:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.5,2,0.079,1
2001-01-01,4:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.5,2,0.079,1
2001-01-01,5:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,0.6,2,0.079,1
2001-01-01,6:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,0.6,2,0.079,1
2001-01-01,7:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.6,2,0.079,1
2001-01-01,8:00,89.6,123.8,1,177,0,8,2,0,15,2,0,8,2,-9900,99,-9900,99,-9900,99,10,0.6,2,0.079,1
2001-01-01,9:00,85.2,130.0,118,1415,26,8,2,41,15,2,22,8,2,-9900,99,-9900,99,-9900,99,10,0.7,2,0.079,1
2001-01-01,10:00,78.0,141.9,293,1415,69,8,2,5,15,2,68,8,2,-9900,99,-9900,99,-9900,99,8,0.7,2,0.079,1
2001-01-01,11:00,72.6,155.0,424,1415,78,8,2,0,15,2,78,8,2,-9900,99,-9900,99,-9900,99,8,0.7,2,0.079,1
2001-01-01,12:00,69.3,169.1,499,1415,150,8,2,24,15,2,141,8,2,-9900,99,-9900,99,-9900,99,8,0.8,2,0.079,1
2001-01-01,13:00,68.7,183.9,514,1415,100,8,2,0,15,2,100,8,2,-9900,99,-9900,99,-9900,99,4,0.8,2,0.079,1
2001-01-01,14:00,70.7,198.4,467,1415,104,8,2,0,15,2,104,8,2,-9900,99,-9900,99,-9900,99,8,0.9,2,0.079,1
2001-01-01,15:00,75.2,212.1,362,1415,109,8,2,13,15,2,105,8,2,-9900,99,-9900,99,-9900,99,8,0.9,2,0.079,1
2001-01-01,16:00,81.6,224.5,206,1415,128,8,2,185,15,2,101,8,2,-9900,99,-9900,99,-9900,99,5,1.0,2,0.079,1
2001-01-01,17:00,87.7,233.6,34,837,3,8,2,46,15,2,2,8,2,-9900,99,-9900,99,-9900,99,9,1.1,2,0.079,1
2001-01-01,18:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,1.1,2,0.079,1
2001-01-01,19:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.2,2,0.079,1
2001-01-01,20:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,1.2,2,0.079,1
2001-01-01,21:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,1.3,2,0.079,1
2001-01-01,22:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,1.3,2,0.079,1
2001-01-01,23:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,6,1.3,2,0.079,1
2001-01-01,24:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,7,1.3,2,0.079,1
2001-01-02,1:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,1.3,2,0.079,1
2001-01-02,2:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,6,1.3,2,0.079,1
2001-01-02,3:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,1.2,2,0.079,1
2001-01-02,4:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,7,1.2,2,0.079,1
2001-01-02,5:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,7,1.2,2,0.079,1
2001-01-02,6:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,4,1.2,2,0.079,1
2001-01-02,7:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,1.2,2,0.079,1
2001-01-02,8:00,89.6,123.7,1,177,0,8,2,0,15,2,0,8,2,-9900,99,-9900,99,-9900,99,10,1.2,2,0.079,1
2001-01-02,9:00,85.2,129.9,118,1415,28,8,2,62,15,2,23,8,2,-9900,99,-9900,99,-9900,99,8,1.2,2,0.079,1
2001-01-02,10:00,78.0,141.7,294,1415,160,8,2,447,15,2,67,8,2,-9900,99,-9900,99,-9900,99,8,1.1,2,0.079,1
2001-01-02,11:00,72.5,154.8,425,1415,265,8,2,501,15,2,114,8,2,-9900,99,-9900,99,-9900,99,7,1.1,2,0.079,1
2001-01-02,12:00,69.3,169.0,501,1415,92,8,2,0,15,2,92,8,2,-9900,99,-9900,99,-9900,99,3,1.1,2,0.079,1
2001-01-02,13:00,68.6,183.8,516,1415,344,8,2,492,15,2,164,8,2,-9900,99,-9900,99,-9900,99,6,1.1,2,0.079,1
2001-01-02,14:00,70.6,198.3,470,1415,118,8,2,0,15,2,118,8,2,-9900,99,-9900,99,-9900,99,6,1.0,2,0.079,1
2001-01-02,15:00,75.0,212.0,365,1415,233,8,2,361,15,2,140,8,2,-9900,99,-9900,99,-9900,99,6,1.0,2,0.079,1
2001-01-02,16:00,81.5,224.5,210,1415,125,8,2,297,15,2,81,8,2,-9900,99,-9900,99,-9900,99,7,1.0,2,0.079,1
2001-01-02,17:00,87.6,233.6,36,861,3,8,2,77,15,2,2,8,2,-9900,99,-9900,99,-9900,99,8,1.0,2,0.079,1
