YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1999-01-01,1:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,1.2,1,0.079,1
1999-01-01,2:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,6,1.2,1,0.079,1
1999-01-01,3:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,6,1.2,1,0.079,1
1999-01-01,4:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,1.2,1,0.079,1
1999-01-01,5:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,1.2,1,0.079,1
1999-01-01,6:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,1.2,1,0.079,1
1999-01-01,7:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,1.1,1,0.079,1
1999-01-01,8:00,89.6,123.9,1,177,0,8,2,0,15,2,0,8,2,-9900,99,-9900,99,-9900,99,10,1.1,1,0.079,1
1999-01-01,9:00,85.2,130.1,118,1415,33,8,2,112,15,2,23,8,2,-9900,99,-9900,99,-9900,99,10,1.1,1,0.079,1
1999-01-01,10:00,78.1,141.9,293,1415,147,8,2,366,15,2,71,8,2,-9900,99,-9900,99,-9900,99,10,1.0,1,0.079,1
1999-01-01,11:00,72.6,155.0,423,1415,260,8,2,656,15,2,63,8,2,-9900,99,-9900,99,-9900,99,10,1.0,1,0.079,1
1999-01-01,12:00,69.4,169.2,498,1415,323,8,2,593,15,2,113,8,2,-9900,99,-9900,99,-9900,99,8,1.0,1,0.079,1
1999-01-01,13:00,68.8,183.9,513,1415,257,8,2,279,15,2,155,8,2,-9900,99,-9900,99,-9900,99,9,1.0,1,0.079,1
1999-01-01,14:00,70.8,198.5,466,1415,271,8,2,451,15,2,122,8,2,-9900,99,-9900,99,-9900,99,10,0.9,1,0.079,1
1999-01-01,15:00,75.2,212.1,360,1415,235,8,2,476,15,2,113,8,2,-9900,99,-9900,99,-9900,99,6,0.9,1,0.079,1
1999-01-01,16:00,81.7,224.5,205,1415,129,8,2,364,15,2,76,8,2,-9900,99,-9900,99,-9900,99,1,0.9,1,0.079,1
1999-01-01,17:00,87.7,233.6,33,837,3,8,2,88,15,2,1,8,2,-9900,99,-9900,99,-9900,99,6,0.8,1,0.079,1
1999-01-01,18:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,5,0.8,1,0.079,1
1999-01-01,19:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,4,0.8,1,0.079,1
1999-01-01,20:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,7,0.8,1,0.079,1
1999-01-01,21:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,0.7,1,0.079,1
1999-01-01,22:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,0.7,1,0.079,1
1999-01-01,23:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,4,0.7,1,0.079,1
1999-01-01,24:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,5,0.6,1,0.079,1
1999-01-02,1:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.6,1,0.079,1
1999-01-02,2:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.6,1,0.079,1
1999-01-02,3:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.6,1,0.079,1
1999-01-02,4:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.5,1,0.079,1
1999-01-02,5:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.6,1,0.079,1
1999-01-02,6:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.6,1,0.079,1
1999-01-02,7:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,10,0.6,1,0.079,1
1999-01-02,8:00,89.6,123.7,1,177,0,8,2,0,15,2,0,8,2,-9900,99,-9900,99,-9900,99,10,0.7,1,0.079,1
1999-01-02,9:00,85.2,129.9,118,1415,42,8,2,207,15,2,24,8,2,-9900,99,-9900,99,-9900,99,8,0.7,1,0.079,1
1999-01-02,10:00,78.0,141.8,293,1415,134,8,2,269,15,2,78,8,2,-9900,99,-9900,99,-9900,99,4,0.8,1,0.079,1
1999-01-02,11:00,72.6,154.9,424,1415,135,8,2,52,15,2,120,8,2,-9900,99,-9900,99,-9900,99,4,0.8,1,0.079,1
1999-01-02,12:00,69.3,169.1,500,1415,311,8,2,486,15,2,138,8,2,-9900,99,-9900,99,-9900,99,3,0.8,1,0.079,1
1999-01-02,13:00,68.7,183.8,515,1415,332,8,2,686,15,2,81,8,2,-9900,99,-9900,99,-9900,99,3,0.9,1,0.079,1
1999-01-02,14:00,70.7,198.4,468,1415,305,8,2,676,15,2,80,8,2,-9900,99,-9900,99,-9900,99,0,0.9,1,0.079,1
1999-01-02,15:00,75.1,212.0,363,1415,234,8,2,603,15,2,78,8,2,-9900,99,-9900,99,-9900,99,0,0.9,1,0.079,1
1999-01-02,16:00,81.5,224.5,208,1415,126,8,2,369,15,2,72,8,2,-9900,99,-9900,99,-9900,99,0,1.0,1,0.079,1
1999-01-02,17:00,87.7,233.7,35,861,3,8,2,94,15,2,2,8,2,-9900,99,-9900,99,-9900,99,0,1.0,1,0.079,1
1999-01-02,18:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.0,1,0.079,1
1999-01-02,19:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.1,1,0.079,1
1999-01-02,20:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.1,1,0.079,1
1999-01-02,21:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.2,1,0.079,1
1999-01-02,22:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.2,1,0.079,1
1999-01-02,23:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.2,1,0.079,1
1999-01-02,24:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.3,1,0.079,1
1999-01-03,1:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.3,1,0.079,1
1999-01-03,2:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.3,1,0.079,1
1999-01-03,3:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.4,1,0.079,1
1999-01-03,4:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.4,1,0.079,1
1999-01-03,5:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.4,1,0.079,1
1999-01-03,6:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.4,1,0.079,1
1999-01-03,7:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1.4,1,0.079,1
1999-01-03,8:00,89.6,123.6,1,177,0,8,2,0,15,2,0,8,2,-9900,99,-9900,99,-9900,99,0,1.5,1,0.079,1
1999-01-03,9:00,85.2,129.8,119,1415,44,8,2,281,15,2,20,8,2,-9900,99,-9900,99,-9900,99,0,1.5,1,0.079,1
